iter	Passed	Remaining
0	228	114169
1	277	69140
2	327	54272
3	364	45195
4	379	37540
5	385	31778
6	391	27574
7	396	24411
8	401	21916
9	406	19900
10	410	18250
11	414	16867
12	418	15693
13	423	14688
14	427	13817
15	431	13051
16	435	12376
17	439	11776
18	443	11235
19	448	10753
20	452	10317
21	456	9925
22	460	9555
23	464	9217
24	468	8907
25	472	8617
26	476	8354
27	481	8112
28	485	7885
29	489	7669
30	493	7472
31	498	7284
32	502	7104
33	505	6933
34	509	6774
35	513	6622
36	517	6479
37	522	6347
38	526	6224
39	531	6109
40	535	5997
41	541	5904
42	546	5809
43	551	5720
44	556	5631
45	561	5544
46	566	5457
47	570	5374
48	575	5295
49	580	5228
50	586	5159
51	590	5085
52	594	5013
53	598	4942
54	602	4872
55	606	4806
56	610	4742
57	614	4679
58	618	4620
59	621	4560
60	625	4503
61	629	4448
62	633	4394
63	637	4345
64	642	4297
65	646	4248
66	649	4200
67	654	4156
68	658	4114
69	662	4070
70	666	4028
71	670	3985
72	674	3944
73	678	3904
74	682	3864
75	686	3827
76	689	3790
77	693	3754
78	697	3717
79	701	3682
80	705	3648
81	709	3615
82	712	3581
83	716	3548
84	720	3515
85	723	3483
86	727	3453
87	731	3424
88	735	3395
89	738	3366
90	742	3337
91	746	3310
92	750	3282
93	753	3255
94	757	3229
95	760	3202
96	764	3177
97	768	3152
98	772	3127
99	775	3103
100	780	3081
101	784	3059
102	788	3037
103	792	3016
104	796	2996
105	800	2976
106	804	2955
107	808	2934
108	812	2913
109	815	2892
110	819	2872
111	823	2852
112	827	2832
113	830	2813
114	834	2793
115	838	2774
116	842	2757
117	846	2738
118	849	2721
119	853	2703
120	857	2685
121	860	2664
122	863	2647
123	867	2629
124	870	2612
125	874	2595
126	878	2579
127	881	2563
128	885	2546
129	889	2531
130	894	2518
131	897	2502
132	901	2487
133	905	2472
134	908	2456
135	912	2441
136	915	2426
137	919	2411
138	923	2397
139	926	2383
140	930	2369
141	934	2354
142	937	2341
143	941	2328
144	945	2314
145	949	2301
146	952	2288
147	956	2274
148	960	2262
149	963	2249
150	967	2236
151	971	2223
152	974	2210
153	978	2198
154	981	2185
155	985	2173
156	989	2162
157	993	2149
158	997	2138
159	1000	2126
160	1004	2114
161	1007	2102
162	1011	2090
163	1014	2079
164	1018	2067
165	1021	2056
166	1025	2044
167	1029	2033
168	1033	2023
169	1036	2012
170	1040	2001
171	1044	1991
172	1047	1980
173	1051	1970
174	1055	1959
175	1058	1949
176	1062	1938
177	1066	1928
178	1069	1918
179	1073	1907
180	1077	1898
181	1080	1888
182	1084	1879
183	1088	1869
184	1092	1860
185	1096	1850
186	1100	1841
187	1104	1832
188	1107	1822
189	1111	1813
190	1115	1804
191	1119	1795
192	1122	1785
193	1126	1776
194	1129	1767
195	1133	1757
196	1137	1748
197	1140	1740
198	1144	1730
199	1148	1722
200	1151	1713
201	1155	1704
202	1159	1695
203	1162	1686
204	1166	1678
205	1169	1669
206	1173	1660
207	1176	1652
208	1180	1643
209	1184	1635
210	1187	1627
211	1191	1618
212	1195	1610
213	1199	1602
214	1202	1594
215	1206	1586
216	1210	1578
217	1214	1570
218	1217	1562
219	1221	1555
220	1225	1547
221	1229	1539
222	1233	1531
223	1236	1523
224	1240	1515
225	1243	1507
226	1247	1499
227	1250	1492
228	1254	1484
229	1257	1476
230	1261	1469
231	1265	1461
232	1268	1453
233	1272	1446
234	1276	1439
235	1280	1431
236	1283	1424
237	1287	1417
238	1291	1409
239	1294	1402
240	1298	1395
241	1302	1388
242	1305	1381
243	1309	1373
244	1313	1366
245	1316	1359
246	1320	1352
247	1324	1345
248	1327	1338
249	1331	1331
250	1335	1324
251	1338	1317
252	1342	1310
253	1345	1303
254	1349	1296
255	1353	1289
256	1357	1283
257	1360	1276
258	1364	1269
259	1367	1262
260	1371	1256
261	1375	1249
262	1378	1242
263	1382	1236
264	1386	1229
265	1390	1223
266	1394	1216
267	1397	1210
268	1401	1203
269	1405	1197
270	1409	1190
271	1412	1184
272	1416	1177
273	1420	1171
274	1424	1165
275	1427	1158
276	1431	1152
277	1435	1146
278	1439	1139
279	1442	1133
280	1446	1127
281	1449	1120
282	1453	1114
283	1457	1108
284	1460	1101
285	1464	1095
286	1468	1089
287	1471	1083
288	1475	1077
289	1478	1070
290	1482	1064
291	1486	1058
292	1489	1052
293	1493	1046
294	1497	1040
295	1500	1034
296	1504	1028
297	1508	1022
298	1511	1016
299	1515	1010
300	1518	1004
301	1522	998
302	1526	992
303	1530	986
304	1533	980
305	1537	974
306	1540	968
307	1544	962
308	1547	956
309	1551	950
310	1555	945
311	1558	939
312	1562	933
313	1565	927
314	1569	921
315	1573	915
316	1576	910
317	1580	904
318	1584	898
319	1587	893
320	1591	887
321	1594	881
