id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2441,"Cozy Artist’s Abode! NE Minneapolis, Pets, Wifi",2680,Emily,,Hennepin,45.00862,-93.23424,Entire home/apt,,2,315,2024-07-21,1.65,2,0,3,STR-111974
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94549,-93.35586,Private room,56,2,233,2024-12-01,1.27,2,351,12,
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.92016,-93.22899,Private room,56,2,201,2025-05-26,1.12,2,320,15,Exempt
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.91995,-93.23011,Private room,59,2,76,2025-05-12,0.45,2,311,11,Exempt
141571,"Private Bedroom U.of Minnesota,  Saint Paul Campus",688403,Delia,,Ramsey,44.97637,-93.18993,Private room,68,2,1,2011-07-23,0.01,3,364,0,
166024,Luxury 5500 Sq ft  Executive Home,746911,Marcel,,Hennepin,44.98274,-93.36458,Entire home/apt,458,2,94,2025-06-15,1.79,1,286,29,
176709,"Private Bedroom, Walk to Saint Paul Campus!",688403,Delia,,Ramsey,44.97483,-93.19141,Private room,85,2,35,2024-11-05,0.24,3,364,2,20180004569
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.9436,-93.24872,Entire home/apt,64,30,28,2024-12-29,0.22,1,172,1,STR-400618
198551,Urban Cyclist's Dream/Global Market,966845,Dan & Debby,,Hennepin,44.94991683959961,-93.2590560913086,Entire home/apt,,30,5,2013-03-01,0.03,1,0,0,
236978,"The Sunny Room
2nd Floor Bedroom
Shared Bath",227787,Andrew James,,Anoka,45.21587,-93.35446,Private room,39,1,82,2025-06-20,0.52,2,71,16,
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96917,-93.11233,Private room,68,1,278,2025-01-01,1.72,2,3,4,20170004727
322640,"Charming, sweet Uptown Minneapolis apartment!",119095,Alison,,Hennepin,44.94304,-93.29558,Entire home/apt,104,5,266,2025-06-15,1.64,1,309,18,LIC-366859
482236,Manor Guest Suite,1233357,Sean,,Ramsey,44.96903,-93.11149,Private room,69,1,192,2025-06-07,1.21,2,40,8,20170004727
505750,Linden Hills 4-BR/3-bath home,1950187,Catherine,,Hennepin,44.9307,-93.31085,Entire home/apt,504,2,235,2025-06-01,1.84,4,26,5,lic-114245
544048,3 bedroom Bungalow | Family Friendly,937861,Jennie Lee,,Hennepin,44.91917,-93.27163,Entire home/apt,169,2,253,2025-05-27,1.61,1,315,31,STR-376235
697236,Beautiful House rental,3505142,Yuyang,,Hennepin,44.87712,-93.28438,Private room,36,1,64,2020-02-01,0.42,1,292,0,
741701,Linden Hills Guest Home,3882563,Julie,,Hennepin,44.91973,-93.32255,Entire home/apt,,3,98,2025-04-06,0.70,1,1,6,STR-380293
746358,Beautiful Urban Garden Walkout,3905670,Dennie,,Hennepin,44.97199,-93.30631,Entire home/apt,190,2,409,2025-06-01,2.97,1,320,23,Exempt
752413,Summer Cabin -- Winter Ski Chalet,3718783,Robin,,Washington,44.89882,-92.78704,Entire home/apt,75,30,59,2025-03-26,0.39,1,114,1,
783996,Wayzata Lakefront Retreat:Build your Best Memories,4134260,Henry Vi,,Hennepin,44.97516,-93.49155,Entire home/apt,921,4,80,2025-06-01,0.87,1,333,7,
